FISCAL_YR,FISCAL_MO,Segment_Channel,investment
2018,10,Existing_Omni,267.0481302
2018,10,React_Retail1,270.1317329
2018,10,React_Direct1,1089.26284
2018,10,React_Omni,22.04463379
2018,11,NTB_Retail1,180.7762539
2018,11,NTB_Direct1,985.5344455
2018,11,NTB_Omni,32.11393689
2018,11,Existing_Retail1,451.8923261
2018,11,Existing_Direct1,2463.572751
2018,11,Existing_Omni,317.1881437
2018,11,React_Retail1,133.3294815
2018,11,React_Direct1,726.8697839
2018,11,React_Omni,24.12903054
2018,12,NTB_Retail1,90.46646048
2018,12,NTB_Direct1,534.5480659
2018,12,NTB_Omni,16.14916009
2018,12,Existing_Retail1,323.8328377
2018,12,Existing_Direct1,1913.462914
2018,12,Existing_Omni,182.4523505
2018,12,React_Retail1,59.44992642
2018,12,React_Direct1,351.2776228
2018,12,React_Omni,12.59097224
2019,1,NTB_Retail1,279.4697159
2019,1,NTB_Direct1,1144.718753
2019,1,NTB_Omni,35.11685822
2019,1,Existing_Retail1,460.6442457
2019,1,Existing_Direct1,1886.816627
2019,1,Existing_Omni,167.7236416
2019,1,React_Retail1,117.0450751
2019,1,React_Direct1,479.4211495
2019,1,React_Omni,11.01617948
2019,2,NTB_Retail1,576.9358555
2019,2,NTB_Direct1,1987.701346
2019,2,NTB_Omni,90.82398658
2019,2,Existing_Retail1,519.2884498
2019,2,Existing_Direct1,1789.090314
2019,2,Existing_Omni,242.1401428
2019,2,React_Retail1,190.9401364
2019,2,React_Direct1,657.8408372
2019,2,React_Omni,29.31488643
2019,3,NTB_Retail1,614.3409939
2019,3,NTB_Direct1,2658.225847
2019,3,NTB_Omni,101.7183001
2019,3,Existing_Retail1,456.6013909
2019,3,Existing_Direct1,1975.69368
2019,3,Existing_Omni,213.6655889
2019,3,React_Retail1,171.1960457
2019,3,React_Direct1,740.7575894
2019,3,React_Omni,25.88702363
2019,4,NTB_Retail1,677.8166151
2019,4,NTB_Direct1,2641.373537
2019,4,NTB_Omni,113.0249781
2019,4,Existing_Retail1,483.4415072
2019,4,Existing_Direct1,1883.916055
2019,4,Existing_Omni,207.300172
2019,4,React_Retail1,203.6211305
2019,4,React_Direct1,793.48817
2019,4,React_Omni,28.21404432
2019,5,NTB_Retail1,345.9086562
2019,5,NTB_Direct1,1642.242879
2019,5,NTB_Omni,87.77221278
2019,5,Existing_Retail1,417.0398009
2019,5,Existing_Direct1,1979.94653
2019,5,Existing_Omni,249.2442995
2019,5,React_Retail1,120.0508499
2019,5,React_Direct1,569.9558247
2019,5,React_Omni,34.85559598
2019,6,NTB_Retail1,135.5823324
2019,6,NTB_Direct1,790.7189657
2019,6,NTB_Omni,28.84140624
2019,6,Existing_Retail1,285.0069693
2019,6,Existing_Direct1,1662.166538
2019,6,Existing_Omni,176.2187937
2019,6,React_Retail1,61.51709657
2019,6,React_Direct1,358.7689792
2019,6,React_Omni,14.26159554
2019,7,NTB_Retail1,188.0093951
2019,7,NTB_Direct1,1010.356477
2019,7,NTB_Omni,36.26671588
2019,7,Existing_Retail1,398.3512265
2019,7,Existing_Direct1,2140.726754
2019,7,Existing_Omni,205.3143092
2019,7,React_Retail1,126.9750402
2019,7,React_Direct1,682.359806
2019,7,React_Omni,14.70201311
2019,8,NTB_Retail1,305.8086661
2019,8,NTB_Direct1,1370.005024
2019,8,NTB_Omni,54.40247648
2019,8,Existing_Retail1,438.5583325
2019,8,Existing_Direct1,1964.715803
2019,8,Existing_Omni,224.0034594
2019,8,React_Retail1,176.6310022
2019,8,React_Direct1,791.296609
2019,8,React_Omni,31.39995082
2019,9,NTB_Retail1,283.1959653
2019,9,NTB_Direct1,1446.125692
2019,9,NTB_Omni,53.353934
